target,sources,n_sources,adversarial,mask_ratio,score_mode,auc,pauc_0.1,n_test_files
fan,pump+slider+valve,3,True,0.3,recon,0.4484,0.4968,5550
fan,pump+slider+valve,3,True,0.3,maha,0.4616,0.498,5550
fan,pump+slider+valve,3,True,0.3,combined,0.454,0.4955,5550
fan,pump+slider+valve,3,False,0.3,recon,0.4477,0.4975,5550
fan,pump+slider+valve,3,False,0.3,maha,0.4782,0.4974,5550
fan,pump+slider+valve,3,False,0.3,combined,0.4629,0.4967,5550
pump,fan+slider+valve,3,True,0.3,recon,0.5976,0.5169,4205
pump,fan+slider+valve,3,True,0.3,maha,0.5597,0.4989,4205
pump,fan+slider+valve,3,True,0.3,combined,0.5834,0.5134,4205
pump,fan+slider+valve,3,False,0.3,recon,0.5996,0.5241,4205
pump,fan+slider+valve,3,False,0.3,maha,0.5669,0.498,4205
pump,fan+slider+valve,3,False,0.3,combined,0.5885,0.5165,4205
slider,fan+pump+valve,3,True,0.3,recon,0.8058,0.5958,4094
slider,fan+pump+valve,3,True,0.3,maha,0.6788,0.5267,4094
slider,fan+pump+valve,3,True,0.3,combined,0.7661,0.5735,4094
ToyCar,fan+pump+slider+valve,4,True,0.3,recon,0.658,0.5226,6459
ToyCar,fan+pump+slider+valve,4,True,0.3,maha,0.6454,0.54,6459
ToyCar,fan+pump+slider+valve,4,True,0.3,combined,0.6672,0.5255,6459
valve,fan+pump+slider,3,True,0.3,recon,0.4408,0.5005,4170
valve,fan+pump+slider,3,True,0.3,maha,0.4379,0.499,4170
valve,fan+pump+slider,3,True,0.3,combined,0.4398,0.4967,4170
valve,fan+pump,2,True,0.3,recon,0.4436,0.5007,4170
valve,fan+pump,2,True,0.3,maha,0.4745,0.5004,4170
valve,fan+pump,2,True,0.3,combined,0.4606,0.5003,4170
